id,nama,tipe_kode,tipe_label,lat,lon,wkt_point,punya_isochrone
aplicares_0,RF RANDULAWANG,A,Apotek/IFRS,-7.302951916026293,111.48828781249995,POINT(111.48828781249995 -7.302951916026293),False
aplicares_1,Laboratorium Patra Medika Cepu,L,Laboratorium,-7.148356,111.60091,POINT(111.60091 -7.148356),False
aplicares_2,DR. ERRA IRHAMNI,U,Praktik Dokter,-6.86197,111.613,POINT(111.613 -6.86197),False
aplicares_3,Poskes 05.10.25 Pacitan,B,Klinik,-8.19526,111.107,POINT(111.107 -8.19526),True
aplicares_4,Polres Pacitan,B,Klinik,-8.19554,111.1,POINT(111.1 -8.19554),True
aplicares_5,IFRS RSUD PACITAN,A,Apotek/IFRS,-8.196101503677,111.10036971135,POINT(111.10036971135 -8.196101503677),False
aplicares_6,Apotik Pink,A,Apotek/IFRS,-8.194527457464904,111.1114767626524,POINT(111.1114767626524 -8.194527457464904),False
aplicares_7,IFRS AGUNG MULIA,A,Apotek/IFRS,-8.19343265483057,111.0946969103813,POINT(111.0946969103813 -8.19343265483057),False
aplicares_8,IFRS MEDICAL MANDIRI PACITAN,A,Apotek/IFRS,-8.206962041114734,111.12443945410304,POINT(111.12443945410304 -8.206962041114734),False
aplicares_9,Klinik PKU Muhammadiyah ,B,Klinik,-8.19774,111.119,POINT(111.119 -8.19774),True
aplicares_10,Klinik Mawaddah,B,Klinik,-8.10565,110.972,POINT(110.972 -8.10565),True
aplicares_11,Klinik Basmalah ,B,Klinik,-8.10208,110.961,POINT(110.961 -8.10208),True
aplicares_12,Klinik Anugerah Sehat.,B,Klinik,-8.19669159421034,111.38050023198129,POINT(111.38050023198129 -8.19669159421034),True
aplicares_13,drg. Suprapti,G,Praktik Dokter Gigi,-8.176986089546293,111.12017480754851,POINT(111.12017480754851 -8.176986089546293),False
aplicares_14,drg. Retno Mutioroningsih,G,Praktik Dokter Gigi,-8.21154570854298,111.0987309527397,POINT(111.0987309527397 -8.21154570854298),False
aplicares_15,Lab. Klinik Prodia Pacitan,L,Laboratorium,-8.19443663794008,111.10995569705965,POINT(111.10995569705965 -8.19443663794008),False
aplicares_16,Lab. Amanah Pacitan,L,Laboratorium,-8.19648,111.101,POINT(111.101 -8.19648),False
aplicares_17,RS AGUNG MULIA,R,Rumah Sakit,-8.19343,111.095,POINT(111.095 -8.19343),True
aplicares_18,RSU MEDICAL MANDIRI PACITAN,R,Rumah Sakit,-8.20736,111.125,POINT(111.125 -8.20736),True
aplicares_19,dr. Puji Dian Cahyani,U,Praktik Dokter,-8.202889096591242,111.10112874603274,POINT(111.10112874603274 -8.202889096591242),False
aplicares_20,dr. Rosyid Ashari.,U,Praktik Dokter,-8.200714908466221,111.09382967972394,POINT(111.09382967972394 -8.200714908466221),False
aplicares_21,POSKES 05.10.01 PONOROGO,B,Klinik,-7.864768261557016,111.4652257695198,POINT(111.4652257695198 -7.864768261557016),True
aplicares_22,POLRES PONOROGO,B,Klinik,-7.86595,111.467,POINT(111.467 -7.86595),True
aplicares_23,IFRS HARDJONO PONOROGO,A,Apotek/IFRS,-8.16484,111.123403,POINT(111.123403 -8.16484),False
aplicares_24,IFRS DARMAYU,A,Apotek/IFRS,-7.86844,111.473347,POINT(111.473347 -7.86844),False
aplicares_25,IFRS MUSLIMAT,A,Apotek/IFRS,-7.877245,111.469933,POINT(111.469933 -7.877245),False
aplicares_26,IFRS AISYIYAH PONOROGO,A,Apotek/IFRS,-7.868493,111.471345,POINT(111.471345 -7.868493),False
aplicares_27,IFRS MUHAMMADIYAH PONOROGO,A,Apotek/IFRS,-7.86677,111.461371,POINT(111.461371 -7.86677),False
aplicares_28,Apotek Kimia Farma Ponorogo,A,Apotek/IFRS,-7.87181,111.464,POINT(111.464 -7.87181),False
aplicares_29,IFRS RS YASYFIN DARUSSALAM ,A,Apotek/IFRS,-7.924839377632565,111.49944580200194,POINT(111.49944580200194 -7.924839377632565),False
aplicares_30,APOTEK BABADAN ,A,Apotek/IFRS,-7.817581451036482,111.50049454572677,POINT(111.50049454572677 -7.817581451036482),False
aplicares_31,IFRS RSUD BANTARANGIN,A,Apotek/IFRS,-7.86627,111.408,POINT(111.408 -7.86627),False
aplicares_32,BP FAJAR DATARI (JST),B,Klinik,-7.86128,111.476,POINT(111.476 -7.86128),True
aplicares_33,Klinik Pringgo Husada,B,Klinik,-7.857150072287657,111.48365064227579,POINT(111.48365064227579 -7.857150072287657),True
aplicares_34,Klinik Al-Hikmah,B,Klinik,-7.808950629343701,111.4377130036354,POINT(111.4377130036354 -7.808950629343701),True
aplicares_35,Klinik Mutiara Delima,B,Klinik,-8.013428482795074,111.57004291534422,POINT(111.57004291534422 -8.013428482795074),True
aplicares_36,KLINIK RULIA MEDIKA,B,Klinik,-7.864165890724072,111.46107644295898,POINT(111.46107644295898 -7.864165890724072),True
aplicares_37,KLINIK FAUZIAH PULUNG,B,Klinik,-7.87859,111.617,POINT(111.617 -7.87859),True
aplicares_38,KLINIK MUHAMMADIYAH BALONG,B,Klinik,-7.957053599027999,111.43024227595332,POINT(111.43024227595332 -7.957053599027999),True
aplicares_39,KLINIK AISYIYAH JETIS,B,Klinik,-7.94301,111.484,POINT(111.484 -7.94301),True
aplicares_40,KLINIK IDOLA MEDICAL CENTRE,B,Klinik,-7.85922,111.479,POINT(111.479 -7.85922),True
aplicares_41,RUMAH SEHAT MUHAMMADIYAH,B,Klinik,-7.83022951319616,111.46717702579501,POINT(111.46717702579501 -7.83022951319616),True
aplicares_42,KLINIK AL-MANAR UNMUH PONOROGO,B,Klinik,-7.86457461339487,111.49570227479931,POINT(111.49570227479931 -7.86457461339487),True
aplicares_43,NGABAR CLINIC,B,Klinik,-7.91957,111.473,POINT(111.473 -7.91957),True
