id,nama,tipe_kode,wkt_polygon
aplicares_3,Poskes 05.10.25 Pacitan,B,"POLYGON((111.073141 -8.1979, 111.073376 -8.199324, 111.074716 -8.200434, 111.077534 -8.202684, 111.081983 -8.210479, 111.082654 -8.212831, 111.082665 -8.212876, 111.08384 -8.213564, 111.090197 -8.21769, 111.091374 -8.220032, 111.091663 -8.220819, 111.092559 -8.221347, 111.092861 -8.221504, 111.094043 -8.222059, 111.097847 -8.220121, 111.106621 -8.219427, 111.11334 -8.219232, 111.120759 -8.215897, 111.122769 -8.215174, 111.123422 -8.21485, 111.130169 -8.211346, 111.131478 -8.20679, 111.131475 -8.206643, 111.131381 -8.205932, 111.131176 -8.205308, 111.130941 -8.204897, 111.129959 -8.20028, 111.135322 -8.193805, 111.135874 -8.193565, 111.136316 -8.193235, 111.136816 -8.192673, 111.137093 -8.192234, 111.133565 -8.186815, 111.132013 -8.186589, 111.12492 -8.183531, 111.122302 -8.178058, 111.123126 -8.173889, 111.123331 -8.173329, 111.123399 -8.172819, 111.123403 -8.17123, 111.12353 -8.16985, 111.122261 -8.168354, 111.121748 -8.168293, 111.120189 -8.168509, 111.117693 -8.169532, 111.110778 -8.173373, 111.108032 -8.173423, 111.101767 -8.170143, 111.101631 -8.170021, 111.099077 -8.170533, 111.09587 -8.172815, 111.095436 -8.176389, 111.093502 -8.181676, 111.08775 -8.184095, 111.083244 -8.190654, 111.075353 -8.191309, 111.074673 -8.191038, 111.073338 -8.194381, 111.073141 -8.1979))"
aplicares_4,Polres Pacitan,B,"POLYGON((111.067372 -8.192011, 111.067693 -8.192551, 111.068096 -8.193005, 111.070294 -8.196111, 111.070902 -8.202161, 111.073534 -8.207568, 111.078106 -8.214923, 111.080508 -8.215628, 111.085502 -8.217336, 111.092559 -8.221347, 111.092861 -8.221504, 111.093362 -8.221733, 111.094707 -8.221041, 111.097255 -8.219757, 111.105355 -8.217367, 111.109906 -8.217016, 111.110281 -8.217011, 111.111621 -8.215744, 111.115474 -8.211503, 111.121914 -8.209244, 111.123601 -8.208961, 111.124926 -8.208386, 111.128551 -8.203371, 111.129007 -8.202453, 111.129723 -8.201009, 111.129959 -8.20028, 111.13001 -8.199722, 111.130089 -8.198024, 111.129539 -8.194648, 111.128705 -8.191146, 111.127198 -8.187618, 111.125471 -8.183657, 111.12159 -8.17671, 111.1212 -8.17607, 111.119835 -8.174839, 111.119401 -8.174813, 111.119124 -8.174832, 111.115854 -8.174997, 111.114526 -8.177132, 111.11378 -8.177939, 111.11157 -8.181628, 111.103084 -8.184577, 111.10188 -8.179031, 111.102232 -8.178126, 111.102315 -8.177527, 111.102485 -8.176829, 111.102474 -8.176387, 111.103709 -8.172346, 111.103993 -8.171988, 111.104473 -8.171114, 111.104776 -8.170139, 111.104796 -8.169787, 111.104846 -8.169158, 111.104818 -8.168756, 111.10474 -8.16832, 111.104536 -8.167791, 111.104035 -8.167159, 111.10385 -8.167008, 111.09881 -8.16755, 111.09273 -8.172516, 111.092469 -8.172799, 111.092234 -8.17314, 111.092008 -8.173617, 111.092832 -8.175687, 111.093025 -8.176107, 111.093278 -8.176451, 111.093502 -8.181676, 111.088272 -8.184143, 111.087902 -8.184108, 111.08775 -8.184095, 111.083244 -8.190654, 111.075353 -8.191309, 111.074516 -8.190979, 111.073388 -8.190717, 111.070557 -8.189515, 111.070485 -8.189487, 111.068148 -8.190773, 111.067296 -8.191826, 111.067372 -8.192011))"
aplicares_9,Klinik PKU Muhammadiyah ,B,"POLYGON((111.087635 -8.197809, 111.089931 -8.200325, 111.092481 -8.206042, 111.092992 -8.207127, 111.093295 -8.207771, 111.096054 -8.209982, 111.099373 -8.211377, 111.104325 -8.217449, 111.111533 -8.221961, 111.11324 -8.225126, 111.120356 -8.225154, 111.120696 -8.224912, 111.121337 -8.223663, 111.127752 -8.217906, 111.130361 -8.218236, 111.133512 -8.2182, 111.133903 -8.218249, 111.134565 -8.218196, 111.134659 -8.218172, 111.136665 -8.216403, 111.141653 -8.212206, 111.141785 -8.211613, 111.138767 -8.204771, 111.138008 -8.204682, 111.13344 -8.200846, 111.137382 -8.195271, 111.141056 -8.195176, 111.142013 -8.195172, 111.143579 -8.194749, 111.144418 -8.194077, 111.144943 -8.193511, 111.145312 -8.192874, 111.145573 -8.192352, 111.145663 -8.191995, 111.144666 -8.1894, 111.139075 -8.186265, 111.1383 -8.18604, 111.133439 -8.183474, 111.131015 -8.177812, 111.130915 -8.1776, 111.129991 -8.176254, 111.126421 -8.176718, 111.119835 -8.174839, 111.119401 -8.174813, 111.11585 -8.174994, 111.113776 -8.177936, 111.11157 -8.181628, 111.103523 -8.185069, 111.102888 -8.184435, 111.101332 -8.180749, 111.101035 -8.179916, 111.101004 -8.179869, 111.098142 -8.180112, 111.092077 -8.185147, 111.090944 -8.186119, 111.087475 -8.194213, 111.087635 -8.197809))"
aplicares_10,Klinik Mawaddah,B,"POLYGON((110.940774 -8.103254, 110.943309 -8.105254, 110.944458 -8.11346, 110.944448 -8.11359, 110.944933 -8.116846, 110.945157 -8.116996, 110.945344 -8.117072, 110.949511 -8.1199, 110.951137 -8.127157, 110.95192 -8.12903, 110.952159 -8.129477, 110.95274 -8.130143, 110.952848 -8.130224, 110.955146 -8.129143, 110.962459 -8.12559, 110.968348 -8.127758, 110.969525 -8.128628, 110.975696 -8.12871, 110.981607 -8.127098, 110.985205 -8.127241, 110.990385 -8.122846, 110.993713 -8.124219, 110.998162 -8.121913, 110.999956 -8.118792, 110.998252 -8.110695, 110.997496 -8.10973, 110.997192 -8.10958, 110.99667 -8.109315, 110.995284 -8.108658, 110.99188 -8.107742, 110.993754 -8.099306, 110.99559 -8.096209, 110.995784 -8.095164, 110.995226 -8.093991, 110.991558 -8.086497, 110.984588 -8.082754, 110.980232 -8.080018, 110.977849 -8.079352, 110.977756 -8.079326, 110.977692 -8.079316, 110.97735 -8.079313, 110.96965 -8.081942, 110.967267 -8.081519, 110.967226 -8.081623, 110.96024 -8.085588, 110.958619 -8.085091, 110.958018 -8.085162, 110.953226 -8.08588, 110.951415 -8.090676, 110.951463 -8.090797, 110.95194 -8.091493, 110.95257 -8.091923, 110.954266 -8.100719, 110.948726 -8.101143, 110.947396 -8.100757, 110.945851 -8.099827, 110.942266 -8.099497, 110.941908 -8.099498, 110.941268 -8.099623, 110.941147 -8.099675, 110.940774 -8.103254))"
aplicares_11,Klinik Basmalah ,B,"POLYGON((110.930024 -8.102144, 110.930116 -8.102886, 110.930357 -8.10356, 110.931831 -8.107089, 110.932841 -8.108004, 110.936182 -8.112262, 110.937839 -8.114828, 110.938409 -8.121416, 110.938709 -8.125003, 110.945374 -8.125087, 110.951479 -8.125026, 110.958283 -8.123976, 110.965297 -8.124089, 110.967867 -8.121955, 110.975385 -8.120843, 110.975595 -8.120778, 110.976416 -8.120218, 110.977998 -8.119142, 110.98447 -8.116877, 110.987751 -8.116894, 110.989641 -8.112603, 110.988328 -8.107904, 110.986668 -8.100272, 110.986963 -8.098288, 110.986568 -8.091017, 110.986237 -8.090695, 110.982459 -8.088719, 110.978863 -8.088537, 110.971651 -8.092272, 110.970006 -8.090443, 110.969696 -8.089686, 110.970017 -8.085889, 110.970147 -8.085363, 110.970131 -8.084765, 110.969771 -8.083882, 110.966773 -8.083197, 110.959291 -8.079069, 110.958563 -8.078394, 110.954099 -8.080028, 110.951045 -8.081935, 110.945571 -8.086671, 110.943549 -8.091571, 110.942715 -8.095158, 110.936427 -8.100017, 110.934512 -8.100489, 110.933711 -8.100758, 110.932488 -8.101087, 110.930026 -8.10158, 110.930024 -8.102144))"
aplicares_12,Klinik Anugerah Sehat.,B,"POLYGON((111.358171 -8.196403, 111.358331 -8.196488, 111.358608 -8.196532, 111.359781 -8.196692, 111.360234 -8.196736, 111.360957 -8.196827, 111.364619 -8.203618, 111.362445 -8.205904, 111.358263 -8.209439, 111.358022 -8.209576, 111.356324 -8.210677, 111.356332 -8.210735, 111.356392 -8.210856, 111.362269 -8.215741, 111.362621 -8.215815, 111.365098 -8.213686, 111.371162 -8.209596, 111.371201 -8.209288, 111.371197 -8.20896, 111.371076 -8.208585, 111.371787 -8.203829, 111.371923 -8.203618, 111.372714 -8.202674, 111.377552 -8.201204, 111.381947 -8.205179, 111.383506 -8.206249, 111.386337 -8.208338, 111.386824 -8.208326, 111.387059 -8.208263, 111.391488 -8.206433, 111.396809 -8.204699, 111.39684 -8.204509, 111.396871 -8.204318, 111.396884 -8.204008, 111.396849 -8.203798, 111.396549 -8.202467, 111.400876 -8.195452, 111.40199 -8.194035, 111.401405 -8.193021, 111.401314 -8.19291, 111.400973 -8.192862, 111.400732 -8.192851, 111.395539 -8.19093, 111.392326 -8.190208, 111.391759 -8.181883, 111.391922 -8.181569, 111.391006 -8.18042, 111.382216 -8.180009, 111.376209 -8.185335, 111.375844 -8.189552, 111.368498 -8.193266, 111.367879 -8.193197, 111.367723 -8.193182, 111.367074 -8.193252, 111.363788 -8.195242, 111.357478 -8.195505, 111.357344 -8.19584, 111.358171 -8.196403))"
aplicares_17,RS AGUNG MULIA,R,"POLYGON((111.065764 -8.18959, 111.065781 -8.190095, 111.065803 -8.190581, 111.066252 -8.191558, 111.070676 -8.197011, 111.072795 -8.203036, 111.07305 -8.209234, 111.073101 -8.210165, 111.077435 -8.216588, 111.080607 -8.218785, 111.082967 -8.218823, 111.083375 -8.218732, 111.087347 -8.218561, 111.092559 -8.221347, 111.092861 -8.221504, 111.093499 -8.221795, 111.094778 -8.222417, 111.095527 -8.222805, 111.099011 -8.220965, 111.105072 -8.217236, 111.11113 -8.212856, 111.117166 -8.206433, 111.124557 -8.201754, 111.125676 -8.198332, 111.123266 -8.194053, 111.121825 -8.18866, 111.119222 -8.183589, 111.117474 -8.180849, 111.117273 -8.180787, 111.111918 -8.179731, 111.111678 -8.17976, 111.11157 -8.181628, 111.110795 -8.18376, 111.102888 -8.184435, 111.10188 -8.179031, 111.102232 -8.178126, 111.102315 -8.177527, 111.102485 -8.176829, 111.102474 -8.176387, 111.103709 -8.172346, 111.103993 -8.171988, 111.104283 -8.171521, 111.101224 -8.169622, 111.09918 -8.169594, 111.093891 -8.173014, 111.094761 -8.176226, 111.093502 -8.181676, 111.087902 -8.184108, 111.08775 -8.184095, 111.083244 -8.190654, 111.075353 -8.191309, 111.074516 -8.190979, 111.069453 -8.187737, 111.065761 -8.189412, 111.065764 -8.18959))"
aplicares_18,RSU MEDICAL MANDIRI PACITAN,R,"POLYGON((111.099313 -8.196489, 111.102262 -8.200926, 111.10383 -8.203819, 111.102436 -8.211679, 111.10028 -8.214562, 111.100965 -8.215074, 111.102404 -8.215994, 111.104482 -8.216964, 111.106406 -8.217853, 111.109987 -8.224939, 111.109879 -8.22609, 111.1098 -8.226588, 111.109881 -8.227279, 111.111418 -8.229158, 111.115537 -8.229556, 111.116312 -8.229748, 111.123811 -8.234342, 111.124023 -8.234406, 111.124447 -8.234416, 111.125849 -8.232571, 111.125911 -8.232449, 111.126038 -8.231943, 111.126059 -8.230791, 111.125989 -8.23033, 111.125575 -8.229224, 111.125441 -8.228803, 111.125026 -8.22734, 111.124365 -8.22647, 111.123924 -8.225956, 111.126093 -8.217782, 111.127645 -8.217598, 111.132175 -8.220627, 111.1337 -8.22147, 111.140251 -8.225671, 111.14048 -8.225954, 111.141084 -8.226653, 111.144147 -8.224761, 111.148176 -8.217147, 111.151498 -8.218039, 111.152439 -8.21843, 111.154553 -8.217844, 111.154638 -8.217709, 111.155142 -8.216052, 111.154954 -8.214529, 111.152039 -8.207318, 111.148749 -8.200288, 111.144305 -8.193432, 111.143364 -8.191912, 111.139075 -8.186265, 111.133439 -8.183474, 111.130007 -8.179749, 111.128057 -8.178474, 111.127523 -8.178721, 111.126446 -8.179218, 111.126377 -8.179679, 111.126364 -8.180144, 111.126386 -8.181546, 111.126379 -8.181934, 111.126493 -8.183136, 111.126583 -8.183583, 111.127105 -8.184466, 111.124145 -8.192314, 111.12055 -8.191612, 111.116344 -8.188364, 111.113047 -8.186918, 111.110742 -8.187349, 111.105634 -8.18887, 111.104851 -8.189284, 111.103885 -8.189913, 111.099975 -8.193943, 111.099966 -8.193964, 111.099146 -8.196202, 111.099313 -8.196489))"
aplicares_21,POSKES 05.10.01 PONOROGO,B,"POLYGON((111.432913 -7.865694, 111.434629 -7.867402, 111.43581 -7.86852, 111.441317 -7.875539, 111.442149 -7.876553, 111.448442 -7.882324, 111.455436 -7.885014, 111.457386 -7.887666, 111.458541 -7.889785, 111.459583 -7.890962, 111.460093 -7.891038, 111.463353 -7.891242, 111.464755 -7.889621, 111.464811 -7.889219, 111.468759 -7.883487, 111.475683 -7.887743, 111.477097 -7.888706, 111.477799 -7.888533, 111.477827 -7.888525, 111.478525 -7.888341, 111.479249 -7.887246, 111.484922 -7.88082, 111.486994 -7.879056, 111.491647 -7.873656, 111.493112 -7.872385, 111.498188 -7.865997, 111.498172 -7.864647, 111.498017 -7.863343, 111.496982 -7.854897, 111.495686 -7.853563, 111.491256 -7.849447, 111.489072 -7.847217, 111.484095 -7.842989, 111.481607 -7.838939, 111.481332 -7.838899, 111.479707 -7.839369, 111.471433 -7.836839, 111.470084 -7.835418, 111.468574 -7.834078, 111.46842 -7.834074, 111.466735 -7.835617, 111.460482 -7.840412, 111.456925 -7.840855, 111.454373 -7.842297, 111.453332 -7.845796, 111.450755 -7.852395, 111.443581 -7.855769, 111.442644 -7.855768, 111.440809 -7.857137, 111.436145 -7.861874, 111.433111 -7.865304, 111.432917 -7.865547, 111.432913 -7.865694))"
aplicares_22,POLRES PONOROGO,B,"POLYGON((111.441612 -7.865481, 111.443204 -7.867103, 111.447738 -7.874599, 111.448503 -7.875838, 111.448791 -7.875828, 111.449512 -7.875687, 111.450026 -7.875478, 111.454022 -7.875268, 111.458236 -7.880652, 111.458098 -7.882449, 111.45975 -7.886273, 111.46335 -7.886223, 111.468759 -7.883487, 111.475758 -7.888279, 111.476563 -7.888838, 111.477799 -7.888533, 111.479069 -7.888197, 111.479083 -7.888193, 111.481969 -7.884247, 111.487544 -7.879035, 111.492215 -7.873625, 111.494796 -7.871301, 111.498845 -7.865497, 111.498883 -7.86375, 111.497952 -7.85537, 111.496582 -7.853775, 111.490671 -7.848275, 111.489962 -7.847608, 111.489213 -7.847222, 111.482308 -7.841699, 111.481741 -7.839417, 111.481661 -7.839369, 111.479481 -7.839611, 111.47124 -7.836801, 111.469669 -7.835316, 111.468917 -7.835132, 111.466718 -7.836047, 111.460459 -7.842275, 111.457719 -7.84503, 111.457752 -7.845536, 111.457481 -7.847713, 111.451886 -7.852493, 111.447114 -7.859272, 111.444497 -7.861836, 111.441621 -7.86523, 111.441612 -7.865481))"
