jenis,nama,lat,lon,status_verifikasi,jarak_pencocokan_m
puskesmas,SUMBERAGUNG,-8.564392,114.062317,terverifikasi_2_sumber,35.5
puskesmas,PESANGGARAN,-8.564392,114.099915,hanya_scrape_perlu_verifikasi,
puskesmas,SILIRAGUNG,-8.55188,114.112305,hanya_scrape_perlu_verifikasi,
puskesmas,KEDUNGWUNGU,-8.547607,114.323303,hanya_scrape_perlu_verifikasi,
puskesmas,GRAJAGAN,-8.546814,114.245117,hanya_scrape_perlu_verifikasi,
puskesmas,SAMBIREJO,-8.512024,114.173096,terverifikasi_2_sumber,16.5
puskesmas,TEGALDLIMO,-8.5087,114.2773,hanya_scrape_perlu_verifikasi,
puskesmas,KEBONDALEM,-8.485413,114.140076,terverifikasi_2_sumber,7.0
puskesmas,SUMBERBERAS,-8.484009,114.314697,terverifikasi_2_sumber,33.8
puskesmas,PURWOHARJO,-8.474915,114.226685,terverifikasi_2_sumber,75.4
puskesmas,TAMPO,-8.456177,114.234924,terverifikasi_2_sumber,9.9
puskesmas,JAJAG,-8.43939,114.18619,hanya_scrape_perlu_verifikasi,
puskesmas,KEDUNGREJO,-8.434387,114.336487,terverifikasi_2_sumber,53.6
puskesmas,BENCULUK,-8.434204,114.228699,hanya_scrape_perlu_verifikasi,
puskesmas,TEGALSARI,-8.427979,114.141724,terverifikasi_2_sumber,37.0
puskesmas,TAPANREJO,-8.426208,114.283875,hanya_scrape_perlu_verifikasi,
puskesmas,TEMBOKREJO,-8.411682,114.322083,terverifikasi_2_sumber,10.3
puskesmas,YOSOMULYO,-8.402283,114.161682,hanya_scrape_perlu_verifikasi,
puskesmas,CURAHNONGKO,-8.397095,113.732727,terverifikasi_2_sumber,25.3
puskesmas,KEBAMAN,-8.39551,114.25318,hanya_scrape_perlu_verifikasi,
puskesmas,SABRANG,-8.38208,113.597107,terverifikasi_2_sumber,12.2
puskesmas,WONOSOBO,-8.370911,114.285095,terverifikasi_2_sumber,28.6
puskesmas,ANDONGSARI,-8.367798,113.652283,terverifikasi_2_sumber,36.9
puskesmas,GENTENG KULON,-8.36557,114.13864,hanya_scrape_perlu_verifikasi,
puskesmas,LOJEJER,-8.363708,113.501892,terverifikasi_2_sumber,19.8
puskesmas,PARIJATAH KULON,-8.361816,114.234924,terverifikasi_2_sumber,30.5
puskesmas,PUGER,-8.359497,113.471497,terverifikasi_2_sumber,58.2
puskesmas,KEMBIRITAN,-8.35791,114.162292,terverifikasi_2_sumber,36.7
puskesmas,GLADAG,-8.34886,114.28135,hanya_scrape_perlu_verifikasi,
puskesmas,AMBULU,-8.348206,113.608521,terverifikasi_2_sumber,57.5
puskesmas,SITIARJO,-8.34218,112.56154,hanya_scrape_perlu_verifikasi,
