id,nama,tipe_kode,tipe_label,lat,lon
aplicares_0,RF RANDULAWANG,A,Apotek/IFRS,-7.302951916026293,111.48828781249995
aplicares_1,Laboratorium Patra Medika Cepu,L,Laboratorium,-7.148356,111.60091
aplicares_2,DR. ERRA IRHAMNI,U,Praktik Dokter,-6.86197,111.613
aplicares_3,Poskes 05.10.25 Pacitan,B,Klinik,-8.19526,111.107
aplicares_4,Polres Pacitan,B,Klinik,-8.19554,111.1
aplicares_5,IFRS RSUD PACITAN,A,Apotek/IFRS,-8.196101503677,111.10036971135
aplicares_6,Apotik Pink,A,Apotek/IFRS,-8.194527457464904,111.1114767626524
aplicares_7,IFRS AGUNG MULIA,A,Apotek/IFRS,-8.19343265483057,111.0946969103813
aplicares_8,IFRS MEDICAL MANDIRI PACITAN,A,Apotek/IFRS,-8.206962041114734,111.12443945410304
aplicares_9,Klinik PKU Muhammadiyah ,B,Klinik,-8.19774,111.119
aplicares_10,Klinik Mawaddah,B,Klinik,-8.10565,110.972
aplicares_11,Klinik Basmalah ,B,Klinik,-8.10208,110.961
aplicares_12,Klinik Anugerah Sehat.,B,Klinik,-8.19669159421034,111.38050023198129
aplicares_13,drg. Suprapti,G,Praktik Dokter Gigi,-8.176986089546293,111.12017480754851
aplicares_14,drg. Retno Mutioroningsih,G,Praktik Dokter Gigi,-8.21154570854298,111.0987309527397
aplicares_15,Lab. Klinik Prodia Pacitan,L,Laboratorium,-8.19443663794008,111.10995569705965
aplicares_16,Lab. Amanah Pacitan,L,Laboratorium,-8.19648,111.101
aplicares_17,RS AGUNG MULIA,R,Rumah Sakit,-8.19343,111.095
aplicares_18,RSU MEDICAL MANDIRI PACITAN,R,Rumah Sakit,-8.20736,111.125
aplicares_19,dr. Puji Dian Cahyani,U,Praktik Dokter,-8.202889096591242,111.10112874603274
aplicares_20,dr. Rosyid Ashari.,U,Praktik Dokter,-8.200714908466221,111.09382967972394
aplicares_21,POSKES 05.10.01 PONOROGO,B,Klinik,-7.864768261557016,111.4652257695198
aplicares_22,POLRES PONOROGO,B,Klinik,-7.86595,111.467
aplicares_23,IFRS HARDJONO PONOROGO,A,Apotek/IFRS,-8.16484,111.123403
aplicares_24,IFRS DARMAYU,A,Apotek/IFRS,-7.86844,111.473347
aplicares_25,IFRS MUSLIMAT,A,Apotek/IFRS,-7.877245,111.469933
aplicares_26,IFRS AISYIYAH PONOROGO,A,Apotek/IFRS,-7.868493,111.471345
aplicares_27,IFRS MUHAMMADIYAH PONOROGO,A,Apotek/IFRS,-7.86677,111.461371
aplicares_28,Apotek Kimia Farma Ponorogo,A,Apotek/IFRS,-7.87181,111.464
aplicares_29,IFRS RS YASYFIN DARUSSALAM ,A,Apotek/IFRS,-7.924839377632565,111.49944580200194
aplicares_30,APOTEK BABADAN ,A,Apotek/IFRS,-7.817581451036482,111.50049454572677
aplicares_31,IFRS RSUD BANTARANGIN,A,Apotek/IFRS,-7.86627,111.408
aplicares_32,BP FAJAR DATARI (JST),B,Klinik,-7.86128,111.476
aplicares_33,Klinik Pringgo Husada,B,Klinik,-7.857150072287657,111.48365064227579
aplicares_34,Klinik Al-Hikmah,B,Klinik,-7.808950629343701,111.4377130036354
aplicares_35,Klinik Mutiara Delima,B,Klinik,-8.013428482795074,111.57004291534422
aplicares_36,KLINIK RULIA MEDIKA,B,Klinik,-7.864165890724072,111.46107644295898
aplicares_37,KLINIK FAUZIAH PULUNG,B,Klinik,-7.87859,111.617
aplicares_38,KLINIK MUHAMMADIYAH BALONG,B,Klinik,-7.957053599027999,111.43024227595332
aplicares_39,KLINIK AISYIYAH JETIS,B,Klinik,-7.94301,111.484
aplicares_40,KLINIK IDOLA MEDICAL CENTRE,B,Klinik,-7.85922,111.479
aplicares_41,RUMAH SEHAT MUHAMMADIYAH,B,Klinik,-7.83022951319616,111.46717702579501
aplicares_42,KLINIK AL-MANAR UNMUH PONOROGO,B,Klinik,-7.86457461339487,111.49570227479931
aplicares_43,NGABAR CLINIC,B,Klinik,-7.91957,111.473
aplicares_44,KLINIK BERKAH PRIMA MEDIKA,B,Klinik,-7.92615,111.494
aplicares_45,KLINIK DARUL FALAH ,B,Klinik,-7.836617693371916,111.42827580356904
aplicares_46,KLINIK ALANA,B,Klinik,-7.87263,111.409
aplicares_47,KLINIK PANGESTU,B,Klinik,-7.83462,111.474
aplicares_48,KLINIK AMALIA HUSADA,B,Klinik,-7.81995,111.556
aplicares_49,drg. ENTI  ISNARNI,G,Praktik Dokter Gigi,-7.85610519293,111.49045313752
aplicares_50,drg. Rahayu Kusdarini,G,Praktik Dokter Gigi,-7.95968,111.438
aplicares_51,drg. Enggar Tri Adji Sambodo,G,Praktik Dokter Gigi,-7.86411,111.475
aplicares_52,OPTIK ISTANA,O,Optik,-7.877991809452236,111.46780793005944
aplicares_53,OPTIK OMEGA JAYA,O,Optik,-7.87167951234879,111.4723601848197
aplicares_54,RS MUSLIMAT,R,Rumah Sakit,-7.8777569449029,111.4698497963
aplicares_55,RSU MUHAMMADIYAH PONOROGO,R,Rumah Sakit,-7.866705604925438,111.46134332275389
aplicares_56,RS YASYFIN DARUSSALAM GONTOR,R,Rumah Sakit,-7.924778791371078,111.49938623809814
aplicares_57,RSUD BANTARANGIN,R,Rumah Sakit,-7.86631,111.409
aplicares_58,Dr. SITI ROBIHAH TARWIYATI,U,Praktik Dokter,-7.92769,111.48
aplicares_59,dr. MUTHI'AH ULYA,U,Praktik Dokter,-7.865846122065472,111.49943193721771
aplicares_60,"dr. Siti Nurfaidah, MMRS",U,Praktik Dokter,-7.8196938643497,111.55314911652
aplicares_61,dr. Mukhlas Hamidy,U,Praktik Dokter,-7.9197,111.498
aplicares_62,dr. Endah Purwati,U,Praktik Dokter,-7.874911453389086,111.61722659729553
aplicares_63,DR. PENI SAYEKTI,U,Praktik Dokter,-7.89693,111.374
aplicares_64,DR. M. ALI IMRAN,U,Praktik Dokter,-7.85162,111.48
aplicares_65,DR. CANDRA KARTIKA DEWI,U,Praktik Dokter,-7.973815156698942,111.57161107969283
aplicares_66,LAB. KLINIK IMA,Y,Laboratorium Resmi,-7.87073,111.467399
aplicares_67,Poskes 05.10.04 Trenggalek,B,Klinik,-8.0524,111.71
aplicares_68,Polres Trenggalek,B,Klinik,-8.052025525832759,111.70891685152054
aplicares_69,IFRS BUDI ASIH,A,Apotek/IFRS,-8.05592366393507,111.69768800000003
