kategori,sumber,nama,detail,alamat,kecamatan,kabupaten,lat,lon
bank,bri,UNIT SIDOARJO KOTA,KC Sidoarjo,"Jl. Mojopahit No.11,",,,-7.46042,112.71777
bank,bri,UNIT KAMAL II BANGKALAN,KC Bangkalan,"Jl. Kusuma Bangsa, Burneh,",,,-7.17193,112.72476
bank,bri,UNIT TANJUNG BUMI BANGKALAN,KC Bangkalan,"Jl Raya Tanjung Bumi, Bangkalan",,,-6.89093,113.07593
bank,bri,UNIT SILIR AGUNG BANYUWANGI,KC Banyuwangi,"Desa Silir Agung,",,,-8.48555,114.13941
bank,bri,KCP MUNCAR BANYUWANGI,KC Banyuwangi,"Kec. Muncar, Kab. Banyuwangi",,,-8.43668,114.33306
bank,bri,KK YAYASAN PUSPA DUNIA,KC Banyuwangi,"Jl. Jember No. 41, Bumi Cempoko Sari, Sraten, Cluring",,,-8.41368,114.2509
bank,bri,UNIT GAMBIRAN GENTENG,KC Genteng,"Jl. Raya Diponegoro,",,,-8.36978,114.14632
bank,bri,KC Genteng,KC Genteng,"JL. GAJAHMADA NO.93, KEC.GENTENG, KAB.BANYUWANGI",,,-8.36401,114.15402
bank,bri,UNIT ROGOJAMPI BANYUWANGI,KC Banyuwangi,"Jl. Raya Rogojampi,",,,-8.30828,114.2935
bank,bri,UNIT GENDOH GENTENG,KC Genteng,"Jl Raya Gendoh Ds.Gendoh,Sempu,Banyuwangi,",,,-8.30543,114.20526
bank,bri,UNIT SEMPU GENTENG,KC Genteng,"Jl Raya Kali Setail, Sempu,",,,-8.30378,114.14095
bank,bri,UNIT KETAPANG BANYUWANGI,KC Banyuwangi,"Jl. Gatot Subroto 119, Ketapang, Kalipuro",,,-8.14726,114.3995
bank,bri,UNIT WONGSOREJO BANYUWANGI,KC Banyuwangi,"Ds/Kec. Wongsorejo,",,,-7.99693,114.40336
bank,bri,UNIT BINANGUN BLITAR,KC Blitar,"Jl.Raya Binangun 2,",,,-8.20812,112.33972
bank,bri,UNIT SELOPURO BLITAR,KC Blitar,"Desa Selopuro,",,,-8.13995,112.30982
bank,bri,UNIT GAPRANG BLITAR,KC Blitar,"Desa Gaprang,",,,-8.11705,112.18826
bank,bri,UNIT CEMARA BLITAR,KC Blitar,"Jl Cemara No.71, Karangsari, Sukorejo, Blitar,",,,-8.11117,112.15642
bank,bri,UNIT WLINGI BLITAR,KC Blitar,"Jl Gajahmada No.43 B . Kel.Wlingi,",,,-8.07951,112.33047
bank,bri,KCP WLINGI,KC Blitar,"Jl Bromo No.Wlingi, Kab Blitar",,,-8.07845,112.32609
bank,bri,UNIT PAGERWOJO BLITAR,KC Blitar,"Dsn. Pabyongan, RTRW 003, Ds. Mulyosari, Kec. Pagerwojo, Kab. Tulungagung",,,-8.03955,112.24611
bank,bri,UNIT WATES BLITAR,KC Blitar,"Desa Wates,",,,-8.03328,112.42342
bank,bri,UNIT DAYU BLITAR,KC Blitar,"Desa Dayu,",,,-8.02871,112.18282
bank,bri,UNIT BACEM BLITAR,KC Blitar,"Jl. Raya Cangkring Rt4/1, Gembongan, Ponggok",,,-7.9991,112.10437
bank,bri,UNIT KEDUNGADEM BOJONEGORO,KC Bojonegoro,"Jl Gajahmada RT.02 RW.03 Ds. Kedungadem Kec. Kedungadem Kab Bojonegoro,",,,-7.29985,112.487
bank,bri,UNIT GONDANG BOJONEGORO,KC Bojonegoro,"Jl. Raya Gondang Rt.20 Rw.05,",,,-7.26549,112.758
bank,bri,UNIT NGRAHO BOJONEGORO,KC Bojonegoro,"Jl. Raya Kalirejo Rt.07 Rw.02,",,,-7.25273,111.5305
bank,bri,UNIT PURWOSARI CEPU,KC Cepu,"Pasar Purwosari Jl. Pasar Purwosari No. 404,",,,-7.17522,111.66232
bank,bri,UNIT BOJONEGORO,KC Bojonegoro,"Jl. Untung Suropati No. 100,",,,-7.15678,111.87558
bank,bri,UNIT TRUNOJOYO BOJONEGORO,KC Bojonegoro,"Jl. Akpbm Suroko No.10,",,,-7.15182,111.88293
bank,bri,UNIT KANOR BOJONEGORO,KC Bojonegoro,"Jl.Raya Kanor RtRwDs Kanor, 5",,,-7.10618,112.197
bank,bri,UNIT PRAJEKAN BONDOWOSO,KC Bondowoso,"Jl. Raya Bondowoso - Situbondo, Ds. Prajekan",,,-7.79813,113.97842
bank,bri,UNIT LEGUNDI KRIAN,KC Krian,"Jl. Raya Legundi No.Driyorejo,",,,-7.38479,112.57639
bank,bri,UNIT CERME GRESIK,KC Gresik,"Jl. Raya Cerme Kidul No.182,",,,-7.22982,112.56815
bank,bri,KK RS SEMEN GRESIK,KC Gresik,"Jl. RA. Kartini No.280, Gresik",,,-7.16673,112.64185
bank,bri,UNIT KEMBANGAN GRESIK,KC Gresik,"Jl. Dr. Wahidin Sudirohusodo, Ds. Kembangan",,,-7.16033,112.62015
bank,bri,UNIT MANYAR GRESIK,KC Gresik,"Jl. Raya manyar No. 65, Ds Manyar rejo ,,",,,-7.12228,112.60423
bank,bri,UNIT KOTA KUSUMA BAWEAN GRESIK,KC Gresik,"Jl. Cokrokusumo, Ds Kota Kusuma,",,,-5.75284,112.68793
bank,bri,UNIT TEMPUREJO JEMBER,KC Jember,"Jl. Kh AbdurachmanTempurejoJember,",,,-8.38815,113.78872
bank,bri,UNIT KASIYAN JEMBER,KC Jember,"Jl. Raya KencongKasiyanJember,",,,-8.31469,113.46841
bank,bri,UNIT BANGSALSARI JEMBER,KC Jember,"Jl. A. Yani No. 106,Bangsalsari,",,,-8.19826,113.52013
bank,bri,UNIT KEBONSARI JEMBER,KC Jember,"Jl. Letjen S. Parman No.Kebonsari,,",,,-8.18745,113.70702
bank,bri,UNIT TANGGUL II JEMBER,KC Jember,"JlHOSCokroaminotoNo45,Manggisan,Tanggul,",,,-8.17932,113.48224
bank,bri,UNIT PATRANG JEMBER,KC Jember,"Jl. Slamet Riyadi 36, Desa Jember Lor,",,,-8.15149,113.71667
bank,bri,UNIT ARJASA JEMBER,KC Jember,"Jl. Sultan AgungA ArjasaJember,",,,-8.11991,113.74775
bank,bri,UNIT LEDOKOMBO JEMBER,KC Jember,"Jl. Cumedak, Ds. Ledokombo, Kec. Ledokombo, Kab. Jember",,,-8.09322,113.88405
bank,bri,UNIT WONOSALAM JOMBANG,KC Jombang,"Ds. Wonosalam, Kec Wonosalam, 7",,,-7.69693,112.36482
bank,bri,UNIT BARENG JOMBANG,KC Jombang,"Jl. Dr. Sutomo N0,68,",,,-7.69642,112.27342
bank,bri,UNIT MOJOWARNO JOMBANG,KC Jombang,"Jl. Raya Mojowangi No.30,",,,-7.62855,112.30002
bank,bri,UNIT MOJOTRISNO JOMBANG,KC Jombang,"Desa Sumbontoro Barat,",,,-7.57178,112.351
bank,bri,KCP Mojoagung,KC Jombang,"Jl. Raya Gambiran No. 92, Mojoagung, Jombang",,,-7.57093,112.34548
bank,bri,KC Jombang,KC Jombang,Jl. K.H. Wahid Hasyim No Jombang,,,-7.54622,112.23637
bank,bri,UNIT SAMBI KEDIRI,KC Kediri,"Jl. Raya Sambi Blutar Kec. Ringinrejo,",,,-7.97996,112.03385
bank,bri,UNIT BOGOKIDUL PARE,KC Pare,"Jl. Kartini 109, Rt.Rw.02, Ds. Kayenlor",,,-7.94091,114.39216
bank,bri,UNIT WATES KEDIRI,KC Kediri,"Jl. Tawang Kec. Wates Kediri,",,,-7.92377,112.12612
bank,bri,KK STAIN,KC Kediri,Komplek STAIN Kediri,,,-7.84722,112.02477
bank,bri,KC Kediri,KC Kediri,"Jl. K.J.P. Slamet A N0. 35-37, Kediri",,,-7.81292,112.00544
bank,bri,UNIT KANDANGAN PARE,KC Pare,"Jl. Malang No.Kandangan Kediri,",,,-7.75677,112.28227
bank,bri,UNIT BANGSONGAN KEDIRI,KC Kediri,"Ds. Minggiran Kec. Papar Kediri,",,,-7.72639,112.05816
bank,bri,UNIT PAPAR KEDIRI,KC Kediri,"Jl KediriKertosono No.50 Ds.Papar,",,,-7.69976,112.07772
bank,bri,UNIT SIDOMLANGEAN LAMONGAN,KC Lamongan,"Jl. Raya Sidomlangean,",,,-7.16898,112.23122
bank,bri,UNIT KEDUNGPRING LAMONGAN,KC Lamongan,"Jl. Raya Masjid No.51 Kedungpring,",,,-7.16849,112.19016
bank,bri,UNIT SUGIO LAMONGAN,KC Lamongan,"Jl. Raya Sugio No.57, Sugio,",,,-7.15856,112.28916
bank,bri,KK RSUD DR SOEGIRI,KC Lamongan,"JL. Kusuma Bangsa No.Kel. Tumenggungan, Kec. Lamongan, kab. Lamongan",,,-7.11452,112.41079
bank,bri,UNIT BABAT DUA LAMONGAN,KC Lamongan,"Jl. Raya Babat No.16, Babat,",,,-7.10613,112.16595
bank,bri,UNIT TURI LAMONGAN,KC Lamongan,"Jl. Raya Karang Langit, Turi,",,,-7.10271,112.37219
bank,bri,UNIT SUKODADI LAMONGAN,KC Lamongan,"Jl. Urip Sumoharjo No.28, Sukodadi,",,,-7.09504,112.33198
bank,bri,UNIT KARANGGENENG LAMONGAN,KC Lamongan,"Jl. Raya Karanggeneng, Karanggeneng,",,,-6.98835,112.37261
bank,bri,UNIT PACIRAN II LAMONGAN,KC Lamongan,"Jl.Raya Deandles No.99, Kranji,",,,-6.87615,112.38168
bank,bri,UNIT KUNIR LUMAJANG,KC Lumajang,"Jl. Raya Kunir, Dsn. Sumber Eling, Ds. Kunir,",,,-8.22134,113.21997
bank,bri,UNIT KALIPEPE LUMAJANG,KC Lumajang,"Jl. Soekertiyo 70, Negosari, Rowokangkung",,,-8.19007,113.29224
bank,bri,UNIT TEKUNG LUMAJANG,KC Lumajang,"Jl. Raya Tenung,",,,-8.15323,113.24855
bank,bri,UNIT PANJAITAN LUMAJANG,KC Lumajang,"Jl. Panjaitan No. 50,",,,-8.13497,113.21405
bank,bri,UNIT S PARMAN LUMAJANG,KC Lumajang,"Jl. S Parman,",,,-8.13308,113.22267
bank,bri,KCP RAYA SUDIRMAN,KC Lumajang,"JL. PB. SUDIRMAN NO.55, RT.RW.02, KEL. TOMPOKERSAN, KAB. LUMAJANG",,,-8.12769,113.22514
bank,bri,UNIT SUDIRMAN LUMAJANG,KC Lumajang,"Jl. Pb. Sudirman,",,,-8.12375,113.22686
bank,bri,UNIT KLAKAH  LUMAJANG,KC Lumajang,"Jl. Ranu Klakah No. 620,",,,-7.99576,113.25458
bank,bri,KCP DOLOPO,KC Madiun,"Jl. Adil Makmur No.23, Kec. Dolopo, Madiun",,,-7.75562,111.52653
bank,bri,UNIT DUNGUS MADIUN,KC Madiun,"Ds. Gemarang Kec. Gemarang, 6",,,-7.6856,111.60781
bank,bri,UNIT NGLAMES MADIUN,KC Madiun,"Jl. Raya Nglames No. 56,",,,-7.59211,111.53812
bank,bri,KCP Caruban,KC Madiun,"Jl. Panglima Sudirman 141, Caruban",,,-7.54824,111.65374
bank,bri,UNIT PONCOL MAGETAN,KC Magetan,"Jl. Raya Poncol Kel Alas Tuwo,",,,-7.71144,111.24736
bank,bri,UNIT KAWEDANAN MAGETAN,KC Magetan,"Jl. Kasianto No.42 A Kel.Kawedanan,",,,-7.69606,111.42548
bank,bri,UNIT A. YANI MAGETAN,KC Magetan,"Jl. Ahmad Yani No.31 Kepolorejo Magetan,",,,-7.65394,111.32689
bank,bri,KC Magetan,KC Magetan,"Jl. A. Yani No. 12, Magetan",,,-7.6538,111.32768
bank,bri,UNIT JUNGKE MAGETAN,KC Magetan,"Jl. Glodog Simo Desa Jungke,",,,-7.57553,111.39652
bank,bri,UNIT KARANGREJO MAGETAN,KC Magetan,"Jl. MT Haryono No.Ruko Pesona Intan,",,,-7.56653,111.42461
bank,bri,UNIT KARTOHARJO MAGETAN,KC Magetan,"Jl. Raya Kartoharjo Dk.Karasan, 8",,,-7.5329,111.48771
